;#REF!;#REF!;#REF!;#REF!;;;;#REF!;
1.12.2015;-5 000 Kč;;;;;"Nájemné Monče (""Příspěvek na bydlení"") Půjčka";;;Půjčení peněz
;;-90 Kč;;;;Kuřecí kousky v salátu (Restaurace Henri);;;Stravování
;;-300 Kč;;;;Masáž Zad (Sylvie S., Viktoria);;;Jednorázový výdaj
;;-100 Kč;;;;Hovězí Hamburger (Burger Bistro, Komárov);;;Stravování
2.12.2015;9 Kč;;;;;bonus za výběr z bankomatu (KB, studentský účet);;;Jednorázový příjem
;68 Kč;;;;;bonus za výběr z bankomatu (KB, studentský účet);;;Jednorázový příjem
;;-90 Kč;;;;Salát s Rostbeafem (Mamut Pub);;;Stravování
;;-107 Kč;;;;Cabernet Savignon (Vinárna, Dlouhá) pro Honzu;;;Věnovaný dárek
;;-195 Kč;;;;Pizza Gurmán (LaPatas, Rozvoz) s Míšou;;;Stravování
3.12.2015;-1 797 Kč;;;;;Měsíční Zdravotní Pojištění (VOZP, Brno);;;Pracovní výdaj
;;-90 Kč;;;;Tortilla s kuřecím masem (Gril Clup Pálenice);;;Stravování
;;-16 Kč;;;;5x Rohlík (Pekařství, Běloruská);;;Stravování
;;-22 Kč;;;;Pepsi Light (ZŠ Kamínky, Kamínky);;;Stravování
4.12.2015;1 000 Kč;;;;;Vrácení peněz od Táty;;;Vrácení peněz
;-2 100 Kč;;;;;Vánoční Dárky (Vánoce);;;Věnovaný dárek
;;-400 Kč;;;;Vánoční cukroví (Cukrářka, Kubištová);;;Jednorázový výdaj
;;-75 Kč;;;;Vepřový řízek, brambor (London Inn);;;Stravování
;;-80 Kč;;;;Badminton s Petrem (Šámalova, Židenice);;;Volejbal
5.12.2015;-2 950 Kč;;;;;"Tarif ""Fixní stůl"" (Impact Hub Brno), Coworking";;;Pracovní výdaj
;;-500 Kč;;;;Nafta do Ford C-Max (Bílý a syn, Bohunice);;;Doprava
;;-180 Kč;;;;Víno, Bonboniera (Kaufland) pro Báru Hájkovou;;;Věnovaný dárek
;;-52 Kč;;;;Šunka, Vysočina (Váhala, Brno);;;Stravování
;;-15 Kč;;;;Kinder Bueno (Albert) pro Míšu;;;Věnovaný dárek
;;-45 Kč;;;;Kondom Durex 3x (Večerka, Havelkova);;;Jednorázový výdaj
6.12.2015;-126 Kč;;;;;Kondom Pepino (Kondomshop, E-shop);;;Jednorázový výdaj
;;-75 Kč;;;;Gambrinus 10°, Debrecínky (AVL Veterina);;;Volejbal
7.12.2015;;-20 Kč;;;;8x Rohlík (Pekařství, Běloruská);;;Stravování
;;-74 Kč;;;;Pepino Kondomy (Čerpací stanice Shell);;;Jednorázový výdaj
8.12.2015;-256 Kč;;;;;Piva, Hamburger (U Třech Čertů, Lidická);;;Restaurace
;;-90 Kč;;;;Kuřecí maso, šťouchaný brambor (Mamut Pub);;;Stravování
;-10 600 Kč;10 600 Kč;;;;převod peněz na budoucí použití;;;Nezařezené
;-9 Kč;;;;;poplatek za dotaz na zůstatek (KB - studentský účet);;;Bankovní poplatek
;;-2 368 Kč;;;;Vysavač + Kartáček (Uloženka, Brno) pro Míšu;;;Věnovaný dárek
9.12.2015;-845 Kč;;;;;Povinné ručení (Česká pojišťovna) za Ford C-MAX;;;Doprava
;;-15 Kč;;;;6x Rohlík (Pekařství, Běloruská);;;Stravování
;;-100 Kč;;;;Farmářský Hamburger (Pivní Sady, Nové Sady);;;Stravování
;;-67 Kč;;;;Vrták číslo 6 (Bauhaus);;;Jednorázový výdaj
10.12.2015;-1 000 Kč;;;;;stavební spoření (Trvalý příkaz);;;Stavební spoření
;-300 Kč;;;;;penziní připojištění (Trvalý příkaz);;;Penzijní připojištění
;;-85 Kč;;;;Hamburger XL, hranolky (London Inn);;;Stravování
;;-120 Kč;;;;Maxi Htdog, 2x Svijany (Kart Arena, Brno);;;Restaurace
11.12.2015;-1 943 Kč;;;;;Měsíční Sociální zabepečení (MSSZ, Brno);;;Pracovní výdaj
;-358 Kč;;;;;"2x Vstupenka ""Saturnin"" (NDB)";;;Kultura
;;-85 Kč;;;;Salát s kuřecím masem (Mamut Pub);;;Stravování
;;-65 Kč;;;;Badminton s Petrem (Šámalova, Židenice);;;Volejbal
;;-500 Kč;;;;Malovaný Obraz s Koněm (Sbazar) pro Báru Hájkovou;;;Věnovaný dárek
12.12.2015;;-466 Kč;;;;Chipsy, Víno (Kaufland);;;Stravování
13.12.2015;;-85 Kč;;;;Badminton s Jiřím a Ondrou (Fit4All);;;Volejbal
;;-253 Kč;;;;Probiotiak (Dr. Max);;;Jednorázový výdaj
;;-100 Kč;;;;Božkov Tuzemský, Kinder Bueno (Kaufland);;;Stravování
;;-60 Kč;;;;Červená růže (Květiny, Kaufland) pro Míšu;;;Věnovaný dárek
14.12.2015;;-70 Kč;;;;Koprová omáčka (Gril Club Pálenice);;;Stravování
15.12.2015;-2 000 Kč;;;;;investiční vklad (Conseq Invest) dynamické investice;;;Investice
;-1 222 Kč;;;;;"""Komoda"", Nábytek (IKEA, Brno)";;;Jednorázový výdaj
;-728 Kč;;;;;NETBOX Internet + TV (Uzbecká, Brno);;;Bydlení
;49 906 Kč;;;;;výplata Cosmic Beacon - Comet (programátorská činnost);;;Výplata
;;-85 Kč;;;;Kuřecí maso, rýže (London Inn);;;Stravování
;;-400 Kč;;;;Poukaz na Masáž (Švábenská, Viktoria) pro Míšu;;;Věnovaný dárek
;;-200 Kč;;;;2x Hovězí Hamburger (Burger Bistro, Komárov);;;Stravování
;;-260 Kč;;;;3x Čaj (Utopia) pro Mamku;;;Věnovaný dárek
16.12.2015;;-105 Kč;;;;Kachní stehno, zelí, knedlík (Gril Club Pálenice);;;Stravování
;;-2 999 Kč;;;;Huawei Y500 (Mobil pro Vás) pro Míšu;;;Věnovaný dárek
;;-88 Kč;;;;"Kniha ""Ráž"", ""Thriller"" (Levné Knihy) pro Hanku a Babičku";;;Věnovaný dárek
;;-41 Kč;;;;Skobičky (Hornbach);;;Jednorázový výdaj
;;-410 Kč;;;;Hamburger, Piva, Čaj (Pivní Burza) s Míšou;;;Restaurace
17.12.2015;-510 Kč;;;;;Volejbalové kolenní chrániče (E-shop);;;Oblečení
;;-45 Kč;;;;Club Maté (Impact Hub Brno) pro Míšu;;;Stravování
;;-90 Kč;;;;Salát s kuřecím masem (Na  Tahu);;;Stravování
18.12.2015;2 000 Kč;;;;;Vrácení peněz od Táty;;;Vrácení peněz
;-797 Kč;;;;;životní pojištění MetLife (MetLife);;;Životní pojištění
;;-210 Kč;;;;Salát, Řízek, Kofola (Na Tahu) s Míšou;;;Stravování
;;-145 Kč;;;;Čajový balíček (Neroli) pro Zuzku;;;Věnovaný dárek
;;-39 Kč;;;;Hamburger (McDonalds);;;Stravování
;;-79 Kč;;;;"Kniha ""Kopecký"" (Levné Knihy) pro Babičku";;;Věnovaný dárek
;;-95 Kč;;;;Hrneček (Vánoční Trhy) pro Dědu;;;Věnovaný dárek
;;-199 Kč;;;;Levandulový polštář (Neroli) pro Tetu Hanku;;;Věnovaný dárek
;;-109 Kč;;;;"Maňásek ""Lvíček"" (Wiki) pro Míšu";;;Věnovaný dárek
;;-17 Kč;;;;6x Rohlík (Pekařství, Běloruská);;;Stravování
;;-80 Kč;;;;"Cigarety ""Benson"" (Shell) pro Borka";;;Půjčení peněz
19.12.2015;;-200 Kč;;;;"Očkování ""Lotynka"" (Veterina, Osová)";;;Půjčení peněz
;;-230 Kč;;;;Bonboniéra, Starobrno 10° (Kaufland) pro Iva S.;;;Věnovaný dárek
20.12.2015;;-458 Kč;;;;Vánoční strom - Smrk, Jmelí (Kaufland);;;Jednorázový výdaj
;;-119 Kč;;;;Whopper Menu (Burger King, Olympia);;;Restaurace
;;-90 Kč;;;;Masový špíz, hranolky (Restaurace Henri);;;Stravování
;;200 Kč;;;;"Za Očkování ""Lotynka"" od Míši";;;Vrácení peněz
21.12.2015;-4 077 Kč;;;;;"Záloha na ""Kancelářskou židli"" (Marouk)";;;Jednorázový výdaj
22.12.2015;-821 Kč;;;;;Potraviny, Pití (Kaufland, Kamenice);;;Stravování
;-577 Kč;;;;;Knihy (Barvič a Novotný);;;Věnovaný dárek
